                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.78879,                 1.4349,                0.69594,                 1.1025,                0.76405,                0.81212,                0.83358,                0.62841,                0.80155,                0.74574,                0.82114,                0.58864,                0.86623,                 1.4838,                0.83278,                 1.2012,             0.00085141,             0.00085141,             0.00085141
                     35,                0.78818,                  1.417,                0.68171,                 1.0995,                0.87919,                0.73722,                0.85119,                0.65356,                0.86804,                0.72898,                0.81821,                0.60412,                0.81458,                 1.5125,                0.75636,                 1.1375,             0.00084961,             0.00084961,             0.00084961
                     36,                 0.7786,                 1.4106,                0.66524,                 1.0963,                0.76691,                0.83484,                0.83803,                0.65323,                0.80161,                0.75733,                0.81907,                0.58904,                0.86302,                 1.5605,                0.74308,                 1.1788,             0.00084781,             0.00084781,             0.00084781
                     37,                0.74101,                 1.3954,                 0.6371,                 1.0693,                0.82449,                0.82117,                0.87592,                0.66882,                 0.8625,                0.76788,                0.86367,                0.58913,                0.88788,                 1.5942,                0.77311,                  1.213,             0.00084601,             0.00084601,             0.00084601
                     38,                0.75484,                 1.3783,                0.63682,                  1.078,                0.88396,                0.76128,                0.86276,                0.66012,                 0.7762,                0.75847,                0.78737,                0.56149,                0.83003,                 1.4653,                0.73137,                 1.1527,             0.00084421,             0.00084421,             0.00084421
                     39,                0.76668,                 1.4156,                0.64877,                  1.082,                0.68342,                0.74374,                0.76841,                0.60225,                0.68289,                0.73886,                0.75951,                0.53698,                0.83263,                 1.5849,                0.78507,                 1.1469,             0.00084241,             0.00084241,             0.00084241
                     40,                0.76276,                 1.3801,                0.65361,                 1.0881,                0.85685,                0.69902,                0.82184,                0.63515,                0.84721,                0.74267,                0.83743,                0.56734,                0.83196,                 1.5842,                0.71994,                 1.1414,             0.00084061,             0.00084061,             0.00084061
                     41,                0.73586,                 1.3408,                 0.6285,                 1.0694,                0.79281,                0.80817,                0.84736,                0.65823,                0.83142,                0.68555,                0.77195,                0.56472,                0.82054,                 1.6569,                0.74949,                 1.1367,             0.00083881,             0.00083881,             0.00083881
                     42,                0.74073,                 1.3344,                 0.6156,                 1.0638,                0.87831,                0.72445,                0.83262,                0.65225,                0.82391,                0.76688,                0.83451,                0.59062,                0.82403,                 1.5779,                0.76478,                 1.1516,             0.00083701,             0.00083701,             0.00083701
                     43,                 0.7433,                 1.3236,                0.62207,                 1.0627,                0.74248,                0.77091,                0.82191,                0.62492,                0.74189,                0.75645,                 0.8089,                0.58182,                0.81957,                 1.4315,                0.76606,                 1.1431,             0.00083521,             0.00083521,             0.00083521
                     44,                0.72638,                 1.3178,                0.60253,                 1.0657,                0.72845,                 0.8177,                0.82965,                0.62423,                0.72175,                0.80843,                0.82389,                0.56283,                0.84135,                 1.4852,                0.80304,                 1.1686,             0.00083341,             0.00083341,             0.00083341
                     45,                0.72806,                 1.3274,                0.60536,                 1.0654,                0.81608,                0.75237,                0.80966,                0.61386,                0.78725,                0.78052,                0.82116,                 0.5675,                0.82168,                 1.5386,                0.71425,                 1.1489,             0.00083161,             0.00083161,             0.00083161
                     46,                0.74205,                 1.3423,                0.61861,                 1.0674,                0.71235,                 0.7863,                0.80953,                0.61531,                0.72034,                0.75988,                0.79789,                0.57247,                0.84135,                 1.5035,                0.77941,                 1.1728,             0.00082981,             0.00082981,             0.00082981
                     47,                0.72203,                 1.3125,                0.60445,                 1.0582,                0.79933,                0.78904,                0.85428,                0.64915,                0.78292,                 0.7735,                0.83575,                0.59516,                 0.8237,                 1.4712,                 0.7119,                  1.146,             0.00082801,             0.00082801,             0.00082801
                     48,                0.73057,                 1.3235,                0.60501,                 1.0558,                0.81404,                0.70211,                0.80365,                0.61253,                0.77485,                0.64451,                 0.7308,                0.50215,                0.78217,                 1.6422,                0.77809,                 1.1244,             0.00082621,             0.00082621,             0.00082621
                     49,                0.70956,                 1.3086,                0.57885,                 1.0509,                0.80598,                0.79384,                0.84994,                0.64143,                0.83193,                0.79488,                0.85928,                 0.6096,                0.81119,                 1.6538,                0.75386,                 1.1432,             0.00082441,             0.00082441,             0.00082441
                     50,                0.71806,                  1.331,                0.60148,                 1.0604,                 0.8334,                0.76573,                0.83319,                0.62983,                0.82691,                0.76635,                0.82561,                0.59615,                0.80979,                 1.4058,                0.74478,                 1.1168,             0.00082261,             0.00082261,             0.00082261
                     51,                0.72596,                 1.2978,                0.59069,                 1.0595,                0.81191,                0.78396,                0.84752,                0.63794,                 0.8143,                0.78147,                0.83528,                0.58796,                 0.8136,                 1.5267,                0.73193,                 1.1359,             0.00082081,             0.00082081,             0.00082081
                     52,                  0.707,                 1.2925,                0.58921,                 1.0485,                0.76831,                0.77009,                0.82847,                0.63666,                 0.8329,                0.71065,                 0.8135,                0.57427,                0.80345,                 1.4181,                0.71792,                 1.1348,             0.00081901,             0.00081901,             0.00081901
                     53,                0.71329,                  1.278,                 0.5848,                 1.0522,                0.87599,                0.71341,                0.80705,                0.61847,                0.87525,                0.71239,                0.80089,                0.56766,                0.82332,                 1.5541,                0.73313,                 1.1703,             0.00081721,             0.00081721,             0.00081721
                     54,                0.70603,                 1.2848,                0.58225,                 1.0517,                0.78521,                 0.8186,                0.84404,                0.64899,                0.78163,                0.80643,                0.83608,                0.58604,                0.84524,                 1.5044,                 0.6834,                 1.1732,             0.00081541,             0.00081541,             0.00081541
                     55,                0.70443,                 1.2999,                0.58181,                 1.0534,                0.90533,                0.77111,                0.87302,                0.68099,                0.90645,                 0.7714,                0.85408,                0.63458,                0.78693,                  1.424,                0.66745,                  1.123,             0.00081361,             0.00081361,             0.00081361
                     56,                0.70437,                 1.2751,                0.58183,                 1.0526,                0.81429,                0.81164,                0.83703,                0.64698,                0.80928,                0.81205,                0.82971,                 0.5897,                0.84881,                 1.4106,                0.70296,                  1.164,             0.00081181,             0.00081181,             0.00081181
                     57,                 0.7057,                 1.2765,                0.58254,                 1.0524,                0.86488,                0.79394,                0.87104,                 0.6683,                0.81968,                0.80772,                0.83817,                0.59212,                0.81318,                 1.6079,                0.69717,                  1.141,             0.00081001,             0.00081001,             0.00081001
                     58,                0.71788,                 1.3047,                 0.5827,                 1.0489,                0.84968,                0.72956,                0.85527,                0.63043,                0.79232,                0.78156,                0.85341,                0.57035,                0.80449,                 1.4875,                0.70094,                 1.1476,             0.00080821,             0.00080821,             0.00080821
                     59,                0.71038,                 1.2983,                0.59545,                 1.0481,                0.83996,                0.76518,                0.85101,                0.63603,                0.83413,                0.75997,                0.83878,                0.59048,                0.83632,                 1.4936,                0.71153,                 1.1748,             0.00080641,             0.00080641,             0.00080641
                     60,                0.68444,                 1.2286,                0.56162,                 1.0349,                0.83733,                0.74121,                0.84905,                0.67211,                0.80731,                0.72003,                0.80178,                0.58148,                 0.7999,                 1.4908,                0.70888,                 1.1376,             0.00080461,             0.00080461,             0.00080461
                     61,                0.68543,                 1.2429,                0.55563,                 1.0357,                0.76248,                 0.7784,                0.83288,                0.65864,                0.72716,                0.75113,                0.79133,                0.56742,                0.78551,                 1.4067,                0.69265,                 1.1034,             0.00080281,             0.00080281,             0.00080281
                     62,                0.68233,                 1.2374,                0.56266,                  1.034,                  0.793,                0.77966,                0.84533,                0.64034,                0.81576,                0.63575,                 0.7471,                0.55452,                0.79971,                 1.4255,                0.70424,                 1.1584,             0.00080101,             0.00080101,             0.00080101
                     63,                 0.6947,                   1.25,                0.56684,                 1.0405,                0.83997,                0.78969,                0.85524,                0.65889,                0.80805,                 0.7661,                0.83126,                0.60403,                0.83686,                 1.4223,                0.75073,                 1.1647,             0.00079921,             0.00079921,             0.00079921
                     64,                0.68052,                 1.2103,                0.54592,                 1.0302,                 0.8525,                0.73175,                0.82255,                0.64628,                0.87817,                 0.7063,                0.80925,                0.60749,                0.80235,                 1.4805,                0.70612,                 1.1101,             0.00079741,             0.00079741,             0.00079741
                     65,                0.68014,                 1.2189,                0.56139,                 1.0411,                0.75235,                0.79286,                0.81023,                0.61321,                0.68176,                0.72969,                0.73969,                 0.5246,                0.79831,                 1.4397,                0.72005,                 1.1209,             0.00079561,             0.00079561,             0.00079561
