                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.76487,                 1.3324,                0.64186,                 1.0177,                 0.7998,                0.77347,                0.81534,                0.60753,                0.78886,                0.76113,                0.80624,                0.58031,                0.90923,                 1.4775,                0.77871,                 1.1137,             0.00083521,             0.00083521,             0.00083521
                     44,                0.73722,                 1.3083,                0.61405,                 1.0142,                0.87874,                0.72616,                0.84854,                0.65609,                0.77975,                0.67072,                0.75297,                0.56036,                0.87357,                 1.5092,                0.78317,                 1.1052,             0.00083341,             0.00083341,             0.00083341
                     45,                0.76058,                 1.3616,                0.63116,                 1.0248,                0.79077,                0.79738,                0.85151,                0.64693,                0.70416,                0.69212,                0.74849,                 0.5621,                0.83858,                 1.4183,                0.71691,                 1.0571,             0.00083161,             0.00083161,             0.00083161
                     46,                0.76737,                 1.3457,                0.63642,                 1.0222,                0.80358,                0.77833,                0.84043,                 0.6593,                 0.7527,                0.64743,                0.74913,                0.55182,                0.81997,                 1.5082,                0.77448,                 1.0588,             0.00082981,             0.00082981,             0.00082981
                     47,                0.75246,                 1.3372,                 0.6285,                 1.0218,                0.73153,                0.78696,                0.81803,                0.62137,                0.71297,                0.76467,                0.77739,                0.55141,                0.84129,                 1.5514,                0.76647,                 1.0609,             0.00082801,             0.00082801,             0.00082801
                     48,                0.74854,                 1.3292,                0.61381,                 1.0135,                0.81029,                0.76549,                0.84427,                0.65109,                0.81181,                0.76136,                0.80841,                0.57615,                0.84807,                  1.471,                 0.7649,                 1.0658,             0.00082621,             0.00082621,             0.00082621
                     49,                0.73975,                 1.3339,                0.60539,                 1.0075,                0.85316,                0.77625,                0.85048,                0.65979,                0.85124,                0.77468,                 0.8371,                0.62202,                0.82892,                  1.493,                 0.7104,                 1.0557,             0.00082441,             0.00082441,             0.00082441
                     50,                0.74998,                 1.3443,                0.62259,                 1.0163,                0.85522,                0.79056,                0.85705,                0.66464,                0.84963,                0.78764,                0.85362,                0.64151,                0.83821,                 1.3948,                0.69154,                 1.0716,             0.00082261,             0.00082261,             0.00082261
                     51,                0.74877,                 1.2911,                0.61177,                 1.0084,                0.85969,                0.72559,                0.82437,                 0.6365,                0.85924,                 0.7183,                0.81467,                0.60106,                0.80397,                 1.4737,                0.71087,                 1.0434,             0.00082081,             0.00082081,             0.00082081
                     52,                0.73017,                  1.297,                0.60203,                 1.0071,                0.81644,                0.79154,                 0.8486,                0.65125,                0.76782,                0.74057,                0.78042,                0.57748,                 0.7834,                 1.3786,                0.68549,                 1.0201,             0.00081901,             0.00081901,             0.00081901
                     53,                0.73643,                 1.2771,                0.60507,                 1.0059,                0.82819,                0.76917,                0.80466,                0.62356,                0.82309,                0.76472,                0.79506,                0.58863,                0.81708,                 1.4469,                0.71674,                 1.0449,             0.00081721,             0.00081721,             0.00081721
                     54,                0.74684,                 1.3049,                0.61231,                 1.0134,                0.80526,                0.76465,                0.81579,                0.64826,                0.74042,                0.70663,                  0.726,                0.54999,                0.81743,                 1.5441,                0.75016,                 1.0602,             0.00081541,             0.00081541,             0.00081541
                     55,                0.72598,                 1.2985,                0.59523,                 1.0079,                0.82112,                0.79859,                0.84361,                0.64567,                0.74046,                0.74551,                 0.7606,                0.56691,                0.81055,                 1.3944,                0.76904,                 1.0627,             0.00081361,             0.00081361,             0.00081361
                     56,                 0.7345,                  1.279,                0.60365,                 1.0097,                0.83221,                0.73169,                0.83446,                0.65266,                0.83308,                0.72026,                0.82282,                0.60259,                0.80534,                 1.4194,                0.73464,                 1.0467,             0.00081181,             0.00081181,             0.00081181
                     57,                0.74285,                 1.2873,                0.60793,                 1.0064,                0.85565,                0.76796,                0.84537,                0.66554,                0.84527,                0.75523,                0.83047,                0.62892,                0.83258,                 1.4454,                0.73801,                 1.0674,             0.00081001,             0.00081001,             0.00081001
                     58,                0.73712,                 1.3101,                0.60386,                 1.0005,                0.76463,                0.84475,                0.86241,                 0.6696,                0.82757,                0.70805,                0.79384,                0.58707,                0.82241,                 1.5644,                0.72167,                 1.0673,             0.00080821,             0.00080821,             0.00080821
                     59,                0.74147,                 1.2962,                0.60571,                 1.0123,                0.83057,                0.77883,                0.83871,                0.65108,                0.85748,                0.73917,                0.83399,                0.62519,                0.82273,                 1.4711,                0.68167,                 1.0525,             0.00080641,             0.00080641,             0.00080641
                     60,                 0.7195,                 1.2501,                0.58751,                0.99712,                0.86852,                0.78041,                0.87005,                0.67154,                0.87904,                0.77573,                0.87054,                0.62331,                0.80987,                 1.4707,                0.70192,                 1.0666,             0.00080461,             0.00080461,             0.00080461
                     61,                0.70796,                 1.2613,                0.57472,                0.99354,                0.87743,                0.75034,                0.84047,                0.65399,                0.86634,                0.74714,                0.83892,                0.59184,                0.80022,                  1.383,                0.71907,                 1.0368,             0.00080281,             0.00080281,             0.00080281
                     62,                0.71172,                 1.2593,                0.58241,                0.98595,                0.81267,                0.76326,                0.83224,                0.65202,                0.80864,                0.76198,                0.81465,                0.59915,                 0.8209,                  1.466,                0.77163,                 1.0737,             0.00080101,             0.00080101,             0.00080101
                     63,                0.72348,                 1.2694,                0.59765,                 1.0011,                0.80471,                0.79403,                0.83208,                0.65578,                0.80073,                0.78883,                0.82572,                0.60806,                0.82178,                 1.4643,                0.73847,                  1.104,             0.00079921,             0.00079921,             0.00079921
                     64,                0.71988,                 1.2534,                0.58129,                0.99481,                0.81426,                 0.7977,                 0.8479,                0.65642,                0.75964,                0.74729,                0.78387,                0.58474,                0.81342,                 1.4326,                0.71067,                 1.0476,             0.00079741,             0.00079741,             0.00079741
                     65,                0.70825,                  1.235,                0.58353,                0.99687,                0.86456,                0.75291,                0.85682,                0.65093,                0.83199,                0.73055,                0.80028,                0.57517,                0.77643,                 1.4566,                0.68201,                 1.0525,             0.00079561,             0.00079561,             0.00079561
                     66,                0.72138,                 1.2638,                0.58736,                0.99555,                 0.7507,                0.85176,                0.84777,                0.64511,                0.75353,                0.81384,                0.82297,                0.59302,                0.81943,                  1.481,                0.67977,                 1.0577,             0.00079381,             0.00079381,             0.00079381
                     67,                0.73124,                 1.2829,                0.58314,                0.99822,                0.75811,                 0.8125,                0.83203,                0.63539,                 0.7576,                0.79982,                0.82062,                0.61103,                0.86516,                 1.6118,                0.71968,                 1.1166,             0.00079201,             0.00079201,             0.00079201
                     68,                0.71077,                 1.2575,                0.57669,                0.99142,                0.78242,                0.77858,                0.83456,                0.65367,                0.73517,                0.65764,                0.72556,                0.55748,                0.82075,                 1.4375,                0.71967,                 1.0533,             0.00079021,             0.00079021,             0.00079021
                     69,                0.70455,                 1.2241,                 0.5671,                0.99254,                0.87466,                0.79985,                0.86541,                0.67848,                0.86262,                0.79109,                 0.8503,                 0.6159,                0.81112,                 1.4564,                0.68286,                 1.0465,             0.00078841,             0.00078841,             0.00078841
                     70,                0.72586,                 1.2797,                0.57734,                 0.9918,                0.87497,                0.76659,                0.86517,                0.68134,                0.86294,                0.75821,                0.84916,                0.64714,                0.81422,                 1.4928,                0.67254,                 1.0569,             0.00078661,             0.00078661,             0.00078661
                     71,                0.71975,                 1.2835,                  0.573,                0.99629,                 0.8513,                 0.7895,                0.84071,                 0.6699,                0.75116,                 0.7693,                0.78122,                0.59681,                0.79662,                 1.5145,                0.69677,                 1.0387,             0.00078481,             0.00078481,             0.00078481
                     72,                0.70298,                   1.24,                0.56067,                0.98607,                0.85916,                0.75955,                 0.8389,                0.65837,                0.79604,                0.72211,                0.76527,                0.58111,                0.81741,                 1.4446,                0.73652,                 1.0501,             0.00078301,             0.00078301,             0.00078301
                     73,                0.69294,                 1.1979,                0.55207,                0.98163,                0.84834,                0.80173,                0.85875,                0.67032,                0.79471,                0.75542,                0.77531,                0.59003,                0.83179,                 1.4797,                0.69726,                 1.0857,             0.00078121,             0.00078121,             0.00078121
                     74,                0.71046,                 1.1988,                0.57608,                0.99902,                0.88777,                0.74294,                0.86066,                0.68081,                0.80631,                0.69139,                0.76021,                0.57016,                0.79839,                 1.4556,                0.69418,                  1.052,             0.00077941,             0.00077941,             0.00077941
                     75,                0.70096,                 1.2049,                0.56104,                0.98589,                0.82481,                0.79264,                0.85544,                0.67892,                 0.7361,                0.72774,                 0.7507,                0.57516,                 0.8089,                 1.4819,                0.71344,                 1.0563,             0.00077761,             0.00077761,             0.00077761
                     76,                 0.7004,                 1.2128,                0.55639,                0.98469,                0.87707,                0.76213,                0.85805,                0.67311,                0.73851,                0.72071,                0.75571,                 0.5603,                0.80442,                 1.4175,                0.72187,                 1.0529,             0.00077581,             0.00077581,             0.00077581
                     77,                0.69108,                 1.1905,                 0.5424,                0.98195,                0.81138,                0.80051,                0.84779,                0.65873,                0.77016,                0.75787,                0.76965,                 0.5699,                0.83756,                 1.4683,                0.71453,                 1.0669,             0.00077401,             0.00077401,             0.00077401
                     78,                0.69103,                 1.2231,                0.55478,                0.97526,                0.81372,                0.79375,                0.86474,                0.68101,                0.79919,                0.77045,                0.81387,                0.61186,                0.79742,                 1.4363,                0.71296,                 1.0375,             0.00077221,             0.00077221,             0.00077221
                     79,                0.69424,                 1.2139,                0.55204,                 0.9835,                0.87212,                0.76757,                 0.8529,                0.67819,                0.87005,                0.76764,                0.84252,                 0.6176,                0.77863,                 1.4653,                0.70717,                 1.0211,             0.00077041,             0.00077041,             0.00077041
                     80,                0.68971,                 1.2113,                0.54708,                0.97693,                0.83204,                0.78134,                0.84196,                0.66435,                0.79801,                0.72828,                0.77893,                0.57812,                0.81827,                 1.4937,                0.72814,                 1.0646,             0.00076861,             0.00076861,             0.00076861
                     81,                0.69722,                 1.1933,                0.55262,                0.98664,                  0.843,                 0.7578,                0.84877,                0.66188,                0.76412,                0.67992,                0.73889,                0.54991,                0.80851,                 1.4815,                0.70509,                 1.0475,             0.00076681,             0.00076681,             0.00076681
                     82,                0.69873,                 1.2192,                 0.5628,                 0.9908,                0.71639,                0.79996,                0.83199,                0.66472,                0.68508,                0.76898,                0.77604,                 0.5872,                0.79576,                 1.5062,                0.72775,                 1.0312,             0.00076501,             0.00076501,             0.00076501
                     83,                0.69549,                 1.2031,                0.54745,                0.98373,                0.88618,                0.77629,                0.87381,                0.68172,                0.85975,                0.75264,                0.82712,                0.63307,                0.81212,                 1.4244,                0.70174,                 1.0539,             0.00076321,             0.00076321,             0.00076321
                     84,                0.69456,                 1.2212,                0.54292,                 0.9896,                0.80172,                0.83043,                0.87458,                0.69128,                0.78014,                 0.8075,                0.83188,                0.59422,                0.80938,                 1.3835,                 0.7513,                 1.0697,             0.00076141,             0.00076141,             0.00076141
                     85,                0.67929,                 1.1788,                0.53559,                0.97733,                0.85364,                0.74316,                0.86519,                 0.6827,                0.78372,                 0.6836,                0.75944,                 0.5773,                 0.7883,                 1.3962,                0.74415,                  1.041,             0.00075961,             0.00075961,             0.00075961
                     86,                0.67335,                 1.1352,                0.53013,                0.97254,                0.83344,                0.80987,                0.86833,                0.69703,                0.79903,                0.76789,                0.79784,                0.59229,                0.80647,                 1.5279,                 0.7023,                  1.052,             0.00075782,             0.00075782,             0.00075782
                     87,                0.67008,                 1.1874,                0.52977,                0.96933,                0.85033,                0.77731,                0.85428,                0.67009,                0.76506,                0.71355,                 0.7548,                0.56559,                0.85588,                  1.539,                0.71424,                 1.1207,             0.00075602,             0.00075602,             0.00075602
                     88,                0.68193,                 1.1697,                0.53718,                0.98034,                0.79359,                0.78603,                0.84978,                0.66508,                0.76345,                0.76339,                0.79082,                 0.5904,                0.81654,                 1.5928,                0.69829,                 1.0713,             0.00075422,             0.00075422,             0.00075422
                     89,                0.67227,                 1.1641,                0.53811,                0.97123,                0.84925,                 0.7355,                0.85376,                0.68579,                0.81359,                0.71546,                0.81585,                0.61977,                0.78212,                 1.4877,                 0.6682,                 1.0322,             0.00075242,             0.00075242,             0.00075242
                     90,                0.67904,                   1.17,                   0.53,                 0.9716,                0.85272,                0.74344,                0.84436,                0.66561,                0.77188,                 0.7078,                0.76659,                0.57339,                0.81331,                 1.5212,                0.74423,                 1.0518,             0.00075062,             0.00075062,             0.00075062
                     91,                0.68032,                 1.1714,                0.54051,                0.97293,                0.83571,                0.75599,                0.83762,                0.63145,                0.75252,                0.72625,                0.74998,                0.53761,                0.79316,                 1.5167,                0.72301,                 1.0367,             0.00074882,             0.00074882,             0.00074882
                     92,                0.68546,                 1.1898,                0.55561,                0.98932,                 0.8729,                0.72661,                 0.8377,                0.64247,                0.82095,                0.70112,                0.77141,                0.56564,                0.81412,                 1.5183,                0.75422,                 1.0626,             0.00074702,             0.00074702,             0.00074702
                     93,                0.67229,                 1.2024,                0.53446,                0.97068,                0.81989,                0.85173,                 0.8818,                0.70623,                0.78219,                0.80483,                0.80274,                0.60768,                0.79179,                 1.5131,                0.68982,                 1.0532,             0.00074522,             0.00074522,             0.00074522
                     94,                0.67308,                 1.1719,                0.53492,                0.97542,                0.83749,                0.74337,                0.85308,                0.66497,                0.78467,                0.72289,                0.79834,                0.59484,                 0.8001,                 1.4022,                0.70857,                 1.0494,             0.00074342,             0.00074342,             0.00074342
                     95,                0.67412,                 1.1714,                0.52953,                0.97274,                0.80055,                0.78452,                0.85165,                0.66361,                0.81745,                0.77214,                0.84051,                0.62392,                0.77739,                 1.4637,                0.76247,                 1.0289,             0.00074162,             0.00074162,             0.00074162
                     96,                0.67351,                 1.1648,                0.53212,                0.97063,                0.84652,                0.75483,                0.83383,                0.65419,                0.82747,                0.72076,                 0.7865,                0.59268,                0.79878,                  1.495,                0.70508,                 1.0288,             0.00073982,             0.00073982,             0.00073982
                     97,                0.67238,                 1.1835,                0.52044,                0.96428,                0.76215,                0.84403,                0.86425,                0.68697,                0.70476,                 0.7883,                0.76122,                0.58424,                0.79383,                 1.4913,                0.68448,                 1.0555,             0.00073802,             0.00073802,             0.00073802
